Склад,Штабель,Марка,Максимальная температура,Дата измерения,Возраст штабеля (дни),ignition_in_2d
4,19,A1-КТК,18.1,2019-12-07,,False
4,46,A1,12.2,2019-12-07,131.0,False
4,47,A1-СУЭК,12.6,2019-12-07,,False
3,30,A1-СКГ,17.8,2019-12-07,,False
3,17,A1-КРУ,15.4,2019-12-07,,False
3,29,A1-СА-ШУБ,16.4,2019-12-07,,False
3,36,A1-МТ-ШУБ,14.6,2019-12-07,,False
4,9,A1-КТК,17.7,2019-12-07,87.0,False
4,16,A1-КТК,15.3,2019-12-07,264.0,False
4,46,A1,14.7,2019-12-07,131.0,False
4,10,A1-СУЭК,9.2,2019-12-07,,False
3,30,A1-СКГ,16.7,2019-12-08,,False
3,17,A1-КРУ,16.7,2019-12-08,,False
3,29,A1-СА-ШУБ,14.6,2019-12-08,,False
3,36,A1-МТ-ШУБ,15.8,2019-12-08,,False
4,9,A1-КТК,9.6,2019-12-08,88.0,False
4,16,A1-КТК,15.8,2019-12-08,265.0,False
4,46,A1,15.4,2019-12-08,132.0,False
4,10,A1-СУЭК,12.7,2019-12-08,,False
3,30,A1-СКГ,17.0,2019-12-08,,False
3,17,A1-КРУ,17.4,2019-12-08,,False
3,29,A1-СА-,18.7,2019-12-08,,False
3,36,A1-МТ-ШУБ,15.9,2019-12-08,,False
4,9,A1-КТК,18.2,2019-12-08,88.0,False
4,10,A1-СУЭК,12.9,2019-12-08,,False
4,16,A1-КТК,16.7,2019-12-08,265.0,False
4,46,A1,15.3,2019-12-08,132.0,False
3,30,A1-СКГ,17.1,2019-12-09,,False
3,17,A1-КРУ,15.4,2019-12-09,,False
3,29,A1-СА-,17.0,2019-12-09,,False
3,36,A1-МТ-,16.5,2019-12-09,,False
4,9,A1-КТК,16.0,2019-12-09,89.0,False
4,10,A1-СУЭК,14.3,2019-12-09,,False
4,16,A1-КТК,15.9,2019-12-09,266.0,False
4,46,A1,16.1,2019-12-09,133.0,False
3,30,A1-СКГ,16.4,2019-12-09,,False
3,17,A1-КРУ,15.5,2019-12-09,,False
3,29,A1-СА-,16.2,2019-12-09,,False
3,36,A1-МТ-,17.3,2019-12-09,,False
4,9,A1-КТК,14.6,2019-12-09,89.0,False
4,10,A1-СУЭК,17.3,2019-12-09,,False
4,16,A1-КТК,18.5,2019-12-09,266.0,False
4,46,A1,16.1,2019-12-09,133.0,False
3,30,A1-СКГ,15.7,2019-12-10,,False
3,17,A1-КРУ,14.6,2019-12-10,,False
3,29,A1-СА-ШУБ,17.1,2019-12-10,,False
3,36,A1-МТ-ШУБ,15.1,2019-12-10,,False
4,9,A1-КТК,16.2,2019-12-10,90.0,False
4,10,A1-СУЭК,14.5,2019-12-10,,False
4,16,A1-КТК,17.7,2019-12-10,267.0,False
4,46,A1,15.8,2019-12-10,134.0,False
3,17,A1-КРУ,17.0,2019-12-11,,False
3,29,A1-СА-ШУБ,16.2,2019-12-11,,False
3,36,A1-МТ-ШУБ,15.9,2019-12-11,,False
4,9,A1-КТК,16.5,2019-12-11,91.0,False
4,10,A1-СУЭК,15.7,2019-12-11,,False
4,16,A1-КТК,16.7,2019-12-11,268.0,False
4,46,A1,15.2,2019-12-11,135.0,False
3,12,A1-СА-,19.6,2019-12-11,,False
3,29,A1-СА-,18.7,2019-12-11,,False
3,36,A1-МТ-,22.4,2019-12-11,,False
4,9,A1-КТК,19.8,2019-12-11,91.0,False
4,16,A1-КТК,19.6,2019-12-11,268.0,False
4,46,A1,15.0,2019-12-11,135.0,False
4,10,A1-СУЭК,15.9,2019-12-11,,False
3,12,A1-СА-,17.8,2019-12-12,,False
3,29,A1-СА-,13.5,2019-12-12,,False
3,36,A1-МТ-ШУБ,15.8,2019-12-12,,False
4,9,A1-КТК,18.5,2019-12-12,92.0,False
4,16,A1-КТК,17.2,2019-12-12,269.0,False
4,46,A1,13.5,2019-12-12,136.0,False
4,10,A1-СУЭК,11.9,2019-12-12,,False
3,12,A1-СА-,19.6,2019-12-12,,False
3,21,A1,16.9,2019-12-12,343.0,False
3,31,A1-СА-ШУБ,20.1,2019-12-12,,False
3,36,A1-МТ-ШУБ,21.1,2019-12-12,,False
4,9,A1-КГК,19.4,2019-12-12,92.0,False
4,16,A1-КГК,18.1,2019-12-12,269.0,False
4,46,A1,19.6,2019-12-12,136.0,False
4,10,A1-СУЭК,15.5,2019-12-12,,False
3,12,A1-СА-ШУБ,17.1,2019-12-13,,False
3,21,A1,10.1,2019-12-13,344.0,False
3,31,A1-СА-ШУБ,18.4,2019-12-13,,False
3,36,A1-МТ-ШУБ,14.5,2019-12-13,,False
4,9,A1-КТК,17.2,2019-12-13,93.0,False
4,16,A1-КТК,16.3,2019-12-13,270.0,False
4,46,A1,10.4,2019-12-13,137.0,False
4,10,A1-СУЭК,10.9,2019-12-13,,False
3,12,A1-СА-,16.1,2019-12-13,,False
3,21,A1,13.7,2019-12-13,344.0,False
3,31,A1-СА-,17.7,2019-12-13,,False
3,36,A1-МТ-,15.7,2019-12-13,,False
4,9,A1-КТК,16.7,2019-12-13,93.0,False
4,16,A1-КГК,13.9,2019-12-13,270.0,False
4,23,A1-СУЭК-,10.3,2019-12-13,-158.0,False
4,46,A1,11.1,2019-12-13,137.0,False
4,10,A1-СУЭК,13.4,2019-12-13,,False
3,12,A1-СА-ШУБ,13.4,2019-12-14,,False
3,21,A1,10.8,2019-12-14,345.0,False
3,31,A1-СА-ШУБ,11.5,2019-12-14,,False
3,36,A1-МТ-ШУБ,19.7,2019-12-14,,False
4,9,A1-КТК,14.5,2019-12-14,94.0,False
4,16,A1-КТК,11.8,2019-12-14,271.0,False
4,23,A1-СУЭК-КАМ,6.6,2019-12-14,-157.0,False
4,46,A1,8.1,2019-12-14,138.0,False
4,10,A1-СУЭК,7.9,2019-12-14,,False
3,12,A1-СА-ШУБ,18.0,2019-12-14,,False
3,21,A1-СТР-,11.9,2019-12-14,345.0,False
3,22,A1-КРУ,14.6,2019-12-14,,False
3,31,A1-СА-,16.8,2019-12-14,,False
3,36,A1-МТ-ШУБ,16.7,2019-12-14,,False
4,9,A1-КТК,16.8,2019-12-14,94.0,False
4,10,A1-СУЭК,16.3,2019-12-14,,False
4,16,A1-КТК,15.1,2019-12-14,271.0,False
4,23,A1-СУЭК-,17.5,2019-12-14,-157.0,False
4,46,A1,15.5,2019-12-14,138.0,False
3,12,A1-СА-ШУБ,11.3,2019-12-15,,False
3,21,A1-СТР-,13.7,2019-12-15,346.0,False
3,22,A1-КРУ,12.5,2019-12-15,,False
3,31,A1-СА-ШУБ,14.9,2019-12-15,,False
3,36,A1-МТ-ШУБ,13.1,2019-12-15,,False
4,9,A1-КТК,14.8,2019-12-15,95.0,False
4,10,A1-СУЭК,14.3,2019-12-15,,False
4,16,A1-КТК,15.1,2019-12-15,272.0,False
4,23,A1-СУЭК-КАМ,12.3,2019-12-15,-156.0,False
4,46,A1,13.2,2019-12-15,139.0,False
3,12,A1-СА-ШУБ,17.1,2019-12-15,,False
3,21,A1-СТР-,12.0,2019-12-15,346.0,False
3,22,A1-КРУ,13.4,2019-12-15,,False
3,31,A1-СА-,16.8,2019-12-15,,False
3,36,A1-МТ-ШУБ,16.2,2019-12-15,,False
4,9,A1-КТК,16.5,2019-12-15,95.0,False
4,10,A1-СУЭК,16.0,2019-12-15,,False
4,16,A1-КТК,14.8,2019-12-15,272.0,False
4,23,A1-СУЭК-,17.2,2019-12-15,-156.0,False
4,46,A1,15.5,2019-12-15,139.0,False
3,7,A1-КТК,11.4,2019-12-16,,False
3,12,A1-СА-,15.5,2019-12-16,,False
3,21,A1-СТР-,14.8,2019-12-16,347.0,False
3,29,A1-СА-ШУБ,15.8,2019-12-16,,False
3,36,A1-МТ-ШУБ,123.0,2019-12-16,,False
4,9,A1-КТК,14.3,2019-12-16,96.0,False
4,10,A1-СУЭК,15.7,2019-12-16,,False
4,16,A1-КТК,14.8,2019-12-16,273.0,False
4,23,A1-СУЭК-КАМ,15.7,2019-12-16,-155.0,False
4,46,A1,13.7,2019-12-16,140.0,False
3,7,A1-КТК,16.1,2019-12-16,,False
3,12,A1-СА-,14.6,2019-12-16,,False
3,29,A1-СА-,16.2,2019-12-16,,False
3,36,A1-МТ-ШУБ,15.7,2019-12-16,,False
4,9,A1-КТК,15.0,2019-12-16,96.0,False
4,10,A1-СУЭК,13.0,2019-12-16,,False
4,16,A1-КТК,15.6,2019-12-16,273.0,False
4,23,A1-СУЭК-,13.5,2019-12-16,-155.0,False
4,46,A1,14.9,2019-12-16,140.0,False
3,4,A1-СТР,5.0,2020-01-19,294.0,False
3,10,A1,5.4,2020-01-19,200.0,False
3,12,A1-СА-,9.4,2020-01-19,,False
3,36,A1-МТ-,4.2,2020-01-19,,False
4,19,A1-КТК,38.7,2020-01-19,,False
4,21,A1-СУЭК-,5.8,2020-01-19,,False
4,16,A1-КТК,19.7,2020-01-19,307.0,False
4,39,A1-ГЕН-МЕР,10.3,2020-01-19,-117.0,False
4,6,A1,4.8,2020-01-19,27.0,False
4,47,A1-СУЭК,10.9,2020-01-19,,False
3,4,A1-СТР,4.2,2020-01-20,295.0,False
3,10,A1,5.7,2020-01-20,201.0,False
3,32,A1-СА-ШУБ,6.0,2020-01-20,,False
3,36,A1-МТ-ШУБ,5.3,2020-01-20,,False
4,19,A1-КТК,40.5,2020-01-20,,False
4,21,A1-СУЭК-,8.3,2020-01-20,,False
4,16,A1-КТК,19.3,2020-01-20,308.0,False
4,39,A1-ГЕН-,3.1,2020-01-20,-116.0,False
4,6,A1,0.0,2020-01-20,28.0,False
4,47,A1-СУЭК,7.0,2020-01-20,,False
3,4,A1-СТР,0.6,2020-01-20,295.0,False
3,10,A1,3.0,2020-01-20,201.0,False
3,32,A1-СА-,3.0,2020-01-20,,False
3,36,A1-МТ-,5.2,2020-01-20,,False
4,19,A1-КТК,37.9,2020-01-20,,False
4,21,A1-СУЭК-КАМ,0.1,2020-01-20,,False
4,16,A1-КТК,17.9,2020-01-20,308.0,False
4,39,A1-ГЕН-МЕР,5.4,2020-01-20,-116.0,False
4,6,A1,1.6,2020-01-20,28.0,False
4,47,A1-СУЭК,8.4,2020-01-20,,False
3,4,A1-СТР,2.8,2020-01-21,296.0,False
3,10,A1,5.5,2020-01-21,202.0,False
3,32,A1-СА-,1.6,2020-01-21,,False
3,36,A1-МТ-,5.5,2020-01-21,,False
4,19,A1-КТК,15.8,2020-01-21,,False
4,21,A1-СУЭК-КАМ,0.9,2020-01-21,,False
4,16,A1-КТК,16.6,2020-01-21,309.0,False
4,39,A1-ГЕН-МЕР,2.1,2020-01-21,-115.0,False
4,6,A1,0.2,2020-01-21,29.0,False
4,47,A1-СУЭК,3.6,2020-01-21,,False
4,16,A1,52.9,2020-01-26,314.0,False
4,47,A1,42.4,2020-01-28,,False
4,47,A1,30.8,2020-01-28,,False
3,12,A1-СА-,8.6,2020-02-03,,False
3,50,A1,10.2,2020-02-03,,False
3,36,A1-МТ-ШУБ,8.3,2020-02-03,,False
4,39,A1-ГЕН-,9.6,2020-02-03,-102.0,False
4,16,A1-КТК,80.1,2020-02-03,322.0,False
4,6,A1,8.3,2020-02-03,42.0,False
4,47,A1-СУЭК,8.5,2020-02-03,,False
4,21,A1-СУЭК,5.8,2020-02-03,,False
4,41,A1-СА-,9.1,2020-02-03,,False
4,16,A1-КТК,49.9,2020-02-04,323.0,False
4,16,A1-КТК,30.5,2020-02-05,324.0,False
3,12,A1-СА-ШУБ,9.6,2020-02-04,,False
3,20,A1-КТК,9.4,2020-02-04,,False
3,50,A1,1.5,2020-02-04,,False
3,36,A1-МТ-ШУБ,1.2,2020-02-04,,False
4,39,A1-ГЕН-МЕР,3.5,2020-02-04,-101.0,False
4,16,A1-КТК,19.5,2020-02-04,323.0,False
4,21,A1-СУЭК-КАМ,6.7,2020-02-04,,False
4,41,A1-СА-,7.4,2020-02-04,,False
4,6,A1,1.5,2020-02-04,43.0,False
4,47,A1-СУЭК,5.3,2020-02-04,,False
3,12,A1-СА-ШУБ,3.3,2020-02-05,,False
3,20,A1-КТК,4.2,2020-02-05,,False
3,50,A1,5.2,2020-02-05,,False
3,36,A1-МТ-ШУБ,4.2,2020-02-05,,False
4,39,A1-ГЕН-МЕР,4.9,2020-02-05,-100.0,False
4,16,A1-КТК,18.5,2020-02-05,324.0,False
4,21,A1-СУЭК-КАМ,5.8,2020-02-05,,False
4,41,A1-СА-,0.5,2020-02-05,,False
4,6,A1,1.4,2020-02-05,44.0,False
4,47,A1-СУЭК,7.1,2020-02-05,,False
4,16,A1-КТК,15.8,2020-02-06,325.0,False
4,16,A1,39.3,2020-02-06,325.0,False
4,16,A1,67.6,2020-02-06,325.0,False
4,16,A1,76.3,2020-02-07,326.0,False
4,16,A1,48.8,2020-02-08,327.0,False
4,16,A1,38.5,2020-02-08,327.0,False
4,16,A1,23.0,2020-02-09,328.0,False
4,16,A1,64.3,2020-02-09,328.0,False
4,16,A1,67.2,2020-02-10,329.0,False
4,16,A1,87.0,2020-02-10,329.0,False
4,16,A1,80.4,2020-02-11,330.0,False
4,16,A1,84.9,2020-02-11,330.0,False
4,16,A1,85.2,2020-02-12,331.0,False
4,16,A1,81.3,2020-02-12,331.0,False
4,16,A1,68.3,2020-02-13,332.0,False
4,16,A1,60.3,2020-02-13,332.0,False
3,36,A1,20.3,2020-02-13,,False
3,20,A1,16.6,2020-02-13,,False
3,12,A1,14.0,2020-02-13,,False
3,50,A1,14.4,2020-02-13,,False
4,47,A1,38.8,2020-02-13,,False
4,41,A1,36.7,2020-02-13,,False
4,39,A1,39.8,2020-02-13,-92.0,False
4,30,A1,38.3,2020-02-13,,False
4,23,A1,48.2,2020-02-13,-96.0,False
4,21,A1,29.2,2020-02-13,,False
4,6,A1,38.8,2020-02-13,52.0,False
3,36,A1,20.3,2020-02-13,,False
3,20,A1,16.6,2020-02-13,,False
3,12,A1,14.0,2020-02-13,,False
3,50,A1,14.4,2020-02-13,,False
4,47,A1,38.8,2020-02-13,,False
4,41,A1,36.7,2020-02-13,,False
4,39,A1,39.8,2020-02-13,-92.0,False
4,30,A1,38.3,2020-02-13,,False
4,23,A1,48.2,2020-02-13,-96.0,False
4,21,A1,29.2,2020-02-13,,False
4,6,A1,38.8,2020-02-13,52.0,False
4,16,A1,29.5,2020-02-14,333.0,False
4,16,A1-КТК,73.6,2020-02-14,333.0,False
3,36,A1-МТ-ШУБ,8.3,2020-02-14,,False
3,20,A1-КТК,8.8,2020-02-14,,False
3,12,A1-СА-ШУБ,9.1,2020-02-14,,False
3,50,A1,7.9,2020-02-14,,False
4,47,A1-СУЭК,7.1,2020-02-14,,False
4,41,A1-СА-ШУБ,7.6,2020-02-14,,False
4,39,A1-ГЕН-МЕР,9.7,2020-02-14,-91.0,False
4,30,A1-КТК,6.8,2020-02-14,,False
4,23,A1,8.2,2020-02-14,-95.0,False
4,21,A1-СУЭК-КАМ,10.0,2020-02-14,,False
4,6,A1,8.3,2020-02-14,53.0,False
4,16,A1,71.8,2020-02-15,334.0,False
4,16,A1-КГК,31.8,2020-02-15,334.0,False
4,16,A1-КГК,31.3,2020-02-16,335.0,False
4,16,A1-КТК,57.4,2020-02-17,336.0,False
4,16,A1-КТК,55.3,2020-02-17,336.0,False
4,16,A1-КТК,52.6,2020-02-18,337.0,False
4,16,A1-КТК,46.1,2020-02-18,337.0,False
